Title,DOI,Year
"EPMA: Elastic Platform for Microservices-based Applications: Towards Optimal Resource Elasticity","10.1007/s10723-021-09597-5",2022
"An automatic model management system and its implementation for AIOps on microservice platforms","10.1007/s11227-023-05123-4",2023
"Closing the Feedback Loop in DevOps Through Autonomous Monitors in Operations","10.1007/s42979-021-00826-y",2021
"IO dependent SSD cache allocation for elastic Hadoop applications","10.1007/s11432-017-9401-y",2018
"Feature-based critical components identification in multimedia software","10.1007/s11042-021-11277-1",2022
"OG-RADL: overall performance-based resource-aware dynamic load-balancer for deadline constrained Cloud tasks","10.1007/s11227-020-03544-z",2021
"Detecting Semantic Clones in Microservices Using Components","10.1007/s42979-023-01910-1",2023
"One Class Density Estimation Approach for Fault Detection and Rootcause Analysis in Computer Networks","10.1007/s10922-022-09671-7",2022
"Prediction of low accessibility in 4G networks","10.1007/s12243-021-00849-9",2022
"Optimized Sampling Strategies to Model the Performance of Virtualized Network Functions","10.1007/s10922-020-09547-8",2020
"CSADE: a delay-sensitive scheduling method based on task admission and delay evaluation on edge–cloud collaboration","10.1007/s10586-023-04017-7",2023
"A Survey on the Use of Lightweight Virtualization in I4.0 Manufacturing Environments","10.1007/s10922-023-09725-4",2023
"A hierarchical model for quantifying software security based on static analysis alerts and software metrics","10.1007/s11219-021-09555-0",2021
"Network Management 2030: Operations and Control of Network 2030 Services","10.1007/s10922-020-09517-0",2020
"CARS 2020—Computer Assisted Radiology and Surgery Proceedings of the 34th International Congress and Exhibition, Munich, Germany, June 23–27, 2020","10.1007/s11548-020-02171-6",2020
"A benchmark-based evaluation of search-based crash reproduction","10.1007/s10664-019-09762-1",2020
"Using Real-Time Dashboards to Monitor the Impact of Disruptive Events on Real Estate Market. Case of COVID-19 Pandemic in Australia","10.1007/s43762-022-00044-z",2022
"Anomalous behavior detection-based approach for authenticating smart home system users","10.1007/s10207-021-00571-6",2022
"Improving microservice-based applications with runtime placement adaptation","10.1186/s13174-019-0104-0",2019
"A survey of Kubernetes scheduling algorithms","10.1186/s13677-023-00471-1",2023
"ROS-based architecture for fast digital twin development of smart manufacturing robotized systems","10.1007/s10479-022-04759-4",2023
"Does PageRank apply to service ranking in microservice regression testing?","10.1007/s11219-021-09579-6",2022
"A multi-agent architecture for scheduling in platform-based smart manufacturing systems","10.1631/FITEE.1900094",2019
"A Survey On Log Research Of AIOps: Methods and Trends","10.1007/s11036-021-01832-3",2021
"A two-tier hybrid ensemble learning pipeline for intrusion detection systems in IoT networks","10.1007/s12652-022-04461-0",2023
"Evaluation of distributed stream processing frameworks for IoT applications in Smart Cities","10.1186/s40537-019-0215-2",2019
"Qualitative and quantitative comparison of Spring Cloud and Kubernetes in migrating from a monolithic to a microservice architecture","10.1007/s11761-023-00364-w",2023
"On the relation of control-flow and performance feature interactions: a case study","10.1007/s10664-019-09705-w",2019
"Resource scheduling techniques in cloud from a view of coordination: a holistic survey","10.1631/FITEE.2100298",2023
"Modeling Performance of Microservices Systems with Growth Theory","10.1007/s10664-021-10088-0",2022
"Facilitating the migration to the microservice architecture via model-driven reverse engineering and reinforcement learning","10.1007/s10270-022-00977-3",2022
"A distributed ensemble design based intrusion detection system using fog computing to protect the internet of things networks","10.1007/s12652-020-02696-3",2021
"An experimental study of fog and cloud computing in CEP-based Real-Time IoT applications","10.1186/s13677-021-00245-7",2021
"DICE simulation: a tool for software performance assessment at the design stage","10.1007/s10515-022-00335-z",2022
"Component-Centric Mobile Cloud Architecture Performance Evaluation: an Analytical Approach for Unified Models and Component Compatibility with Next Generation Evolving Technologies","10.1007/s11036-022-01933-7",2022
"Evaluating the agreement among technical debt measurement tools: building an empirical benchmark of technical debt liabilities","10.1007/s10664-020-09869-w",2020
"A digital shadow framework using distributed system concepts","10.1007/s10845-022-02028-6",2022
"DTFab: A Digital Twin based Approach for Optimal Reticle Management in Semiconductor Photolithography","10.1007/s11518-023-5564-x",2023
"Early Spam Detection Using Time-Based Cache in Graph database","10.1007/s00354-023-00223-4",2023
"ITS, The End of the World as We Know It: Transitioning AIED into a Service-Oriented Ecosystem","10.1007/s40593-016-0098-8",2016
"Cor-ENTC:correlation with ensembled approach for network traffic classification using SDN technology for future networks","10.1007/s11227-022-04969-4",2023
"World of code: enabling a research workflow for mining and analyzing the universe of open source VCS data","10.1007/s10664-020-09905-9",2021
"Load balancing in cloud computing – A hierarchical taxonomical classification","10.1186/s13677-019-0146-7",2019
"Social Internet of Things: vision, challenges, and trends","10.1186/s13673-020-00254-6",2020
"MiCADO-Edge: Towards an Application-level Orchestrator for the Cloud-to-Edge Computing Continuum","10.1007/s10723-021-09589-5",2021
"Rotten green tests in Java, Pharo and Python","10.1007/s10664-021-10016-2",2021
"Edge computing in SDN-IoT networks: a systematic review of issues, challenges and solutions","10.1007/s10586-021-03311-6",2021
"Upgrading a high performance computing environment for massive data processing","10.1186/s13174-019-0118-7",2019
"A multi-model framework for semantically enhancing detection of quality-related bug report descriptions","10.1007/s10664-022-10280-w",2023
"Genetic Algorithm for Multi-Objective Optimization of Container Allocation in Cloud Architecture","10.1007/s10723-017-9419-x",2018
"Containers in HPC: a survey","10.1007/s11227-022-04848-y",2023
"A state-of-the-art survey of Digital Twin: techniques, engineering product lifecycle management and business innovation perspectives","10.1007/s10845-019-01512-w",2020
"Genetic-based web regression testing: an ontology-based multi-objective evolutionary framework to auto-regression testing of web applications","10.1007/s11761-020-00312-y",2021
"A method for transforming knowledge discovery metamodel to ArchiMate models","10.1007/s10270-021-00912-y",2022
"Building orchestrated microservice systems using declarative business processes","10.1007/s11761-020-00300-2",2020
"Test them all, is it worth it? Assessing configuration sampling on the JHipster Web development stack","10.1007/s10664-018-9635-4",2019
"Efficient autonomic and elastic resource management techniques in cloud environment: taxonomy and analysis","10.1007/s11276-021-02614-1",2021
"Resilient and dependability management in distributed environments: a systematic and comprehensive literature review","10.1007/s10586-022-03738-5",2023
"Autonomous robotic additive manufacturing through distributed model�?free deep reinforcement learning in computational design environments","10.1007/s41693-022-00069-0",2022
"Voxer—a platform for creating, customizing, and sharing scientific visualizations","10.1007/s12650-019-00595-0",2019
"Task scheduling in the internet of things: challenges, solutions, and future trends","10.1007/s10586-023-03991-2",2023
"Empirical assessment of generating adversarial configurations for software product lines","10.1007/s10664-020-09915-7",2021
"Comparative analysis of color histogram and LBP in CBIR systems","10.1007/s11042-023-15955-0",2023
"A systematic review on effective energy utilization management strategies in cloud data centers","10.1186/s13677-022-00368-5",2022
"Docker Cluster Management for the Cloud - Survey Results and Own Solution","10.1007/s10723-016-9366-y",2016
"Virtualization in Cloud Computing: Moving from Hypervisor to Containerization—A Survey","10.1007/s13369-021-05553-3",2021
"The Implementation of a Cloud-Edge Computing Architecture Using OpenStack and Kubernetes for Air Quality Monitoring Application","10.1007/s11036-020-01620-5",2021
"A technology transfer journey to a model-driven access control system","10.1007/s10009-023-00697-z",2023
"A machine learning approach for performance-oriented decision support in service-oriented architectures","10.1007/s10844-020-00617-6",2021
"Interval graph multi-coloring-based resource reservation for energy-efficient containerized cloud data centers","10.1007/s11227-020-03439-z",2021
"Search-based multi-vulnerability testing of XML injections in web applications","10.1007/s10664-019-09707-8",2019
"Static and Dynamic Dependency Visualization in a Layered Software City","10.1007/s42979-022-01404-6",2022
"Topic modeling in software engineering research","10.1007/s10664-021-10026-0",2021
"Special issue on deep learning and big data analytics for medical e-diagnosis/AI-based e-diagnosis","10.1007/s00521-023-08689-5",2023
"Workload Time Series Cumulative Prediction Mechanism for Cloud Resources Using Neural Machine Translation Technique","10.1007/s10723-022-09607-0",2022
"Special Issue on New Paradigms of Software Production and Deployment","10.1007/s42979-022-01029-9",2022
"Building an open-source system test generation tool: lessons learned and empirical analyses with EvoMaster","10.1007/s11219-023-09620-w",2023
"Automatic gait analysis through computer vision: a pilot study","10.1007/s00521-023-08549-2",2023
"IoT-fog-based healthcare 4.0 system using blockchain technology","10.1007/s11227-022-04788-7",2023
"Energy and cost trade-off for computational tasks offloading in mobile multi-tenant clouds","10.1007/s10586-020-03226-8",2021
"A bi-metric autoscaling approach for n-tier web applications on kubernetes","10.1007/s11704-021-0118-1",2021
"A priority-aware scheduling framework for heterogeneous workloads in container-based cloud","10.1007/s10489-022-04164-1",2023
"An diverse approach on virtual machines administration and power control in multi-level implicit servers","10.1007/s12652-021-03013-2",2021
"Dohko: an autonomic system for provision, configuration, and management of inter-cloud environments based on a software product line engineering method","10.1007/s10586-017-0897-1",2017
"Report on the State of the SoSyM Journal end of 2022","10.1007/s10270-023-01085-6",2023
"A Lightweight Service Placement Approach for Community Network Micro-Clouds","10.1007/s10723-018-9437-3",2019
"CAAI—a cognitive architecture to introduce artificial intelligence in cyber-physical production systems","10.1007/s00170-020-06094-z",2020
"Energy and Makespan Aware Scheduling of Deadline Sensitive Tasks in the Cloud Environment","10.1007/s10723-021-09548-0",2021
"Low-power multi-cloud deployment of large distributed service applications with response-time constraints","10.1186/s13677-022-00363-w",2023
"A multi-dimensional extensible cloud-native service stack for enterprises","10.1186/s13677-022-00366-7",2022
"Characterization and modeling of an edge computing mixed reality workload","10.1186/s13677-020-00190-x",2020
"Cognitive capabilities for the CAAI in cyber-physical production systems","10.1007/s00170-021-07248-3",2021
"Smart water consumption measurement system for houses using IoT and cloud computing","10.1007/s10661-020-08535-4",2020
"Enabling the Rescheduling of Containerized Workloads in an Ad Hoc Cross-Organizational Collaboration","10.1007/s10922-022-09699-9",2022
"MaritimeDS: a data service framework for unsupervised maritime traffic monitoring based on trajectory big data","10.1007/s40860-021-00163-0",2022
"Faulty RJ45 connectors detection on radio base station using deep learning","10.1007/s11042-022-12694-6",2022
"Decomposition Based Cloud Resource Demand Prediction Using Extreme Learning Machines","10.1007/s10922-020-09557-6",2020
"Tradeoffs in modeling performance of highly configurable software systems","10.1007/s10270-018-0662-9",2019
"Design, simulation and testing of a cloud platform for sharing digital fabrication resources for education","10.1186/s13677-019-0135-x",2019
"Revisiting the Anatomy and Physiology of the Grid","10.1007/s10723-015-9324-0",2015
"Building a blockchain-based decentralized ecosystem for cloud and edge computing: an ALLSTAR approach and empirical study","10.1007/s12083-021-01198-z",2021
"The big data system, components, tools, and technologies: a survey","10.1007/s10115-018-1248-0",2019
"A comparative study of application-level caching recommendations at the method level","10.1007/s10664-021-10089-z",2022
"Self-tuning serverless task farming using proactive elasticity control","10.1007/s10586-020-03158-3",2021
"Energy efficiency in cloud computing data centers: a survey on software technologies","10.1007/s10586-022-03713-0",2023
"Survey on serverless computing","10.1186/s13677-021-00253-7",2021
"A Roadmap for HEP Software and Computing R&D for the 2020s","10.1007/s41781-018-0018-8",2019
"SIFR annotator: ontology-based semantic annotation of French biomedical text and clinical notes","10.1186/s12859-018-2429-2",2018
"Dynamic scheduling of heterogeneous resources across mobile edge-cloud continuum using fruit fly-based simulated annealing optimization scheme","10.1007/s00521-022-07260-y",2022
"Rule based auto-scalability of IoT services for efficient edge device resource utilization","10.1007/s12652-020-02100-0",2020
"Multi-agent QoS-aware autonomic resource provisioning framework for elastic BPM in containerized multi-cloud environment","10.1007/s12652-022-04120-4",2022
"SLA-driven container consolidation with usage prediction for green cloud computing","10.1007/s11704-018-7172-3",2020
"Smart IoT and Machine Learning-based Framework for Water Quality Assessment and Device Component Monitoring","10.1007/s11356-022-19014-3",2022
"Model-based resource analysis and synthesis of service-oriented automotive software architectures","10.1007/s10270-021-00896-9",2021
"Information extraction pipelines for knowledge graphs","10.1007/s10115-022-01826-x",2023
"Stochastic model-driven capacity planning framework for multi-access edge computing","10.1007/s00607-022-01102-4",2022
"Corrective commit probability: a measure of the effort invested in bug fixing","10.1007/s11219-021-09564-z",2021
"DAIS: dynamic access and integration services framework for cloud-oriented storage systems","10.1007/s10586-020-03088-0",2020
"An intelligent model for supporting edge migration for virtual function chains in next generation internet of things","10.1038/s41598-023-27674-5",2023
"HTMoL: full-stack solution for remote access, visualization, and analysis of molecular dynamics trajectory data","10.1007/s10822-018-0141-y",2018
"Genetic algorithms and heuristics hybridized for software architecture recovery","10.1007/s10515-023-00384-y",2023
"Fog computing in enabling 5G-driven emerging technologies for development of sustainable smart city infrastructures","10.1007/s10586-021-03496-w",2022
"Cost-effective learning-based strategies for test case prioritization in continuous integration of highly-configurable software","10.1007/s10664-021-10093-3",2022
"Latency and Energy-Awareness in Data Stream Processing for Edge Based IoT Systems","10.1007/s10723-022-09611-4",2022
"Content-aware QoE optimization in MEC-assisted Mobile video streaming","10.1007/s11042-023-15163-w",2023
"Proposal and comparative analysis of a voting-based election algorithm for managing service replication in MANETs","10.1007/s10489-023-04506-7",2023
"Microscope: Pinpoint Performance Issues with Causal Graphs in Micro-service Environments","10.1007/978-3-030-03596-9_1",2018
"Localization of Operational Faults in Cloud Applications by Mining Causal Dependencies in Logs Using Golden Signals","10.1007/978-3-030-76352-7_17",2021
"Improved Topology Extraction Using Discriminative Parameter Mining of Logs","10.1007/978-3-030-75762-5_27",2021
"On Anomaly Detection and Root Cause Analysis of Microservice Systems","10.1007/978-3-030-17642-6_45",2019
"Failure Root Cause Analysis for Microservices, Explained","10.1007/978-3-031-16092-9_6",2022
"Continuous Architecting with Microservices and DevOps: A Systematic Mapping Study","10.1007/978-3-030-29193-8_7",2019
"JCallGraph: Tracing Microservices in Very Large Scale Container Cloud Platforms","10.1007/978-3-030-23502-4_20",2019
"Unstructured Log Analysis for System Anomaly Detection—A Study","10.1007/978-981-16-5685-9_48",2022
"Multi-source Distributed System Data for AI-Powered Analytics","10.1007/978-3-030-44769-4_13",2020
"MicroSketch: Lightweight and Adaptive Sketch Based Performance Issue Detection and Localization in Microservice Systems","10.1007/978-3-031-20984-0_15",2022
"Requirements for Anomaly Detection Techniques for Microservices","10.1007/978-3-031-21388-5_3",2022
"MMRCA: MultiModal Root Cause Analysis","10.1007/978-3-031-14135-5_14",2022
"MicroEGRCL: An Edge-Attention-Based Graph Neural Network Approach for Root Cause Localization in Microservice Systems","10.1007/978-3-031-20984-0_18",2022
"Harmonia: A Continuous Service Monitoring Framework Using DevOps and Service Mesh in a Complementary Manner","10.1007/978-3-030-33702-5_12",2019
"A Rating Tool for the Automated Selection of Software Refactorings that Remove Antipatterns to Improve Performance and Stability","10.1007/978-3-030-29157-0_2",2019
"Performance Diagnosis in Cloud Microservices Using Deep Learning","10.1007/978-3-030-76352-7_13",2021
"Fault Localization in Service Compositions","10.1007/978-3-319-68034-7_13",2017
"Anomaly Detection and Diagnosis for Container-Based Microservices with Performance Monitoring","10.1007/978-3-030-05063-4_42",2018
"Metric Based Cloud Infrastructure Monitoring","10.1007/978-3-319-69835-9_37",2018
"Domain-Independent Monitoring and Visualization of SLA Metrics in Multi-provider Environments","10.1007/978-3-319-69462-7_39",2017
"A QoS-Aware Resource Allocation Controller for Function as a Service (FaaS) Platform","10.1007/978-3-319-69035-3_17",2017
"Containers’ Privacy and Data Protection via Runtime Scanning Methods","10.1007/978-3-030-93479-8_3",2022
"Distributed Log Search Based on Time Series Access and Service Relations","10.1007/978-3-030-99587-4_10",2022
"Tight and Loose Coupling in Evolving Platform Ecosystems: The Cases of Airbnb and Uber","10.1007/978-3-319-93931-5_21",2018
"Anomaly Detection at Scale: The Case for Deep Distributional Time Series Models","10.1007/978-3-030-76352-7_14",2021
"Inferring Calling Relationship Based on External Observation for Microservice Architecture","10.1007/978-3-319-69035-3_16",2017
"Topology-Aware Continuous Experimentation in Microservice-Based Applications","10.1007/978-3-030-65310-1_2",2020
"Towards interactive tourism: capitalising on virtual and physical value chains","10.1007/978-3-7091-6373-3_2",1999
"AI Quality Engineering for Machine Learning Based IoT Data Processing","10.1007/978-3-031-21637-4_4",2022
"IT Design for Resiliency Using Extreme Value Analysis","10.1007/978-3-030-83903-1_4",2021
"BSDG: Anomaly Detection of Microservice Trace Based on Dual Graph Convolutional Neural Network","10.1007/978-3-031-20984-0_12",2022
"A Dynamic Partitioning Framework for Edge-Assisted Cloud Computing","10.1007/978-3-030-60239-0_15",2020
"Multi-source Anomaly Detection in Distributed IT Systems","10.1007/978-3-030-76352-7_22",2021
"Using Language Models to Pre-train Features for Optimizing Information Technology Operations Management Tasks","10.1007/978-3-030-76352-7_18",2021
"Right Scaling for Right Pricing: A Case Study on Total Cost of Ownership Measurement for Cloud Migration","10.1007/978-3-030-29193-8_10",2019
"Translating a Legacy Stack to Microservices Using a Modernization Facade with Performance Optimization for Container Deployments","10.1007/978-3-030-40907-4_14",2020
"Hardening Containers with Static and Dynamic Analysis","10.1007/978-981-19-6414-5_12",2023
"A Self Healing Microservices Architecture: A Case Study in Docker Swarm Cluster","10.1007/978-3-030-15032-7_71",2020
"Reflections from a Hybrid Approach Used to Develop a Specification of a Shopfloor Platform for Smart Manufacturing in an Engineered-to-Order SME","10.1007/978-3-030-85910-7_73",2021
"Software Reliability Engineering for Resilient Cloud Operations","10.1007/978-3-030-76352-7_27",2021
"MICROLYZE: A Framework for Recovering the Software Architecture in Microservice-Based Environments","10.1007/978-3-319-92901-9_14",2018
"Cycle Detection and Clustering for Cyber Physical Systems","10.1007/978-3-031-28694-0_10",2023
"Billing System and 5G Network Slicing Service","10.1007/978-981-16-8558-3_24",2022
"Scaling Knowledge Graphs for Automating AI of Digital Twins","10.1007/978-3-031-19433-7_46",2022
"Designing Architecture for Container-As-A-Service (CaaS) in Cloud Computing Environment: A Review","10.1007/978-981-19-2828-4_50",2022
"Making Runtime Data Useful for Incident Diagnosis: An Experience Report","10.1007/978-3-030-03673-7_33",2018
"Towards an APIs Adoption Agile Model in Large Banks","10.1007/978-3-030-45688-7_31",2020
"Automated Microservice Code-Smell Detection","10.1007/978-981-33-6385-4_20",2021
"Containers in Software Development: A Systematic Mapping Study","10.1007/978-3-030-35333-9_13",2019
"Rule-Based Security Monitoring of Containerized Environments","10.1007/978-3-030-49432-2_4",2020
"Measuring Change in Software Projects Through an Earned Value Lens","10.1007/978-3-030-00623-5_14",2018
"On Technical Debt in Software Testing - Observations from Industry","10.1007/978-3-031-19756-7_17",2022
"Balancing Utility and Security: Securing Cloud Federations of Public Entities","10.1007/978-3-319-48472-3_60",2016
"A Qualitative Literature Review on Microservices Identification Approaches","10.1007/978-3-030-64846-6_9",2020
"A Review of Monitoring Probes for Cloud Computing Continuum","10.1007/978-3-031-28694-0_59",2023
"Microservices in IoT Middleware Architectures: Architecture, Trends, and Challenges","10.1007/978-981-19-3575-6_39",2023
"Enabling Process Variants and Versions in Distributed Object-Aware Process Management Systems","10.1007/978-3-319-92901-9_1",2018
"Wise Toolkit: Enabling Microservice-Based System Performance Experiments","10.1007/978-3-030-59635-4_11",2020
"DroidAutoML: A Microservice Architecture to Automate the Evaluation of Android Machine Learning Detection Systems","10.1007/978-3-030-50323-9_10",2020
"On Observability and Monitoring of Distributed Systems – An Industry Interview Study","10.1007/978-3-030-33702-5_3",2019
"Model-Driven ML-Ops for Intelligent Enterprise Applications: Vision, Approaches and Challenges","10.1007/978-3-030-52306-0_11",2020
"Ensemble Bagging Approach for IoT Sensor Based Anomaly Detection","10.1007/978-981-15-8439-8_52",2021
"Semi-supervised Learning Enabled Fault Analysis Method for Power Distribution Network Based on LSTM Autoencoder and Attention Mechanism","10.1007/978-981-99-3300-6_18",2023
"Advanced Open IoT Platform for Prevention and Early Detection of Forest Fires","10.1007/978-3-319-77700-9_32",2018
"Containerized Distributed Rendering for Interactive Environments","10.1007/978-3-319-72323-5_5",2017
"Fault Detection Method for Power Distribution Network Based on Ensemble Learning","10.1007/978-981-99-3300-6_19",2023
"Proposal for the Development of a Myoelectrically Controlled Prosthetic Arm Integrated with a Web Interface Management System","10.1007/978-3-030-71187-0_75",2021
"A Comparison of MQTT Brokers for Distributed IoT Edge Computing","10.1007/978-3-030-58923-3_23",2020
"TMSA: Participatory Sensing Based on Mobile Phones in Urban Spaces","10.1007/978-3-030-62362-3_23",2020
"On Automatic Software Architecture Reconstruction of Microservice Applications","10.1007/978-981-33-6385-4_21",2021
"Towards Automated Microservices Extraction Using Muti-objective Evolutionary Search","10.1007/978-3-030-33702-5_5",2019
"A Group Genetic Algorithm for Resource Allocation in Container-Based Clouds","10.1007/978-3-030-43680-3_12",2020
"Assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies","10.1007/978-3-031-16697-6_7",2022
"Automatic Microservices Identification from a Set of Business Processes","10.1007/978-3-030-45183-7_23",2020
"Towards Constraint Logic Programming over Strings for Test Data Generation","10.1007/978-3-030-46714-2_10",2020
"Smart Contracts for Global Sourcing Arrangements","10.1007/978-3-030-66834-1_5",2020
"Dynamic Updates of Virtual PLCs Deployed as Kubernetes Microservices","10.1007/978-3-030-86044-8_1",2021
"Client-Side Scheduling Based on Application Characterization on Kubernetes","10.1007/978-3-319-68066-8_13",2017
"Exploring the Architectural Entropy in Cloud Computing System","10.1007/978-981-10-5520-1_55",2018
"BBServerless: A Bursty Traffic Benchmark for Serverless","10.1007/978-3-030-96326-2_4",2022
"On Automated Role-Based Access Control Assessment in Enterprise Systems","10.1007/978-981-15-1465-4_38",2020
"Integrating Issue Management Systems of Independently Developed Software Components","10.1007/978-3-031-33976-9_1",2023
"Queue-Waiting-Time Based Load Balancing Algorithm for Fine-Grain Microservices","10.1007/978-3-319-94376-3_12",2018
"The Role of Blockchain to Reduce the Dissemination of Fake News on Social Media and Messaging Platforms","10.1007/978-3-031-20160-8_15",2023
"A Fuzzy-Based Auto-scaler for Web Applications in Cloud Computing Environments","10.1007/978-3-030-03596-9_57",2018
"SPEAKER: Split-Phase Execution of Application Containers","10.1007/978-3-319-60876-1_11",2017
"The Impact of Situational Context on the Software Development Process – A Case Study of a Highly Innovative Start-up Organization","10.1007/978-3-319-67383-7_33",2017
"Securing Microservice-Driven Applications Based on API Access Graphs Using Supervised Machine Learning Techniques","10.1007/978-981-19-6634-7_41",2023
"CloudSDN: Enabling SDN Framework for Security and Threat Analytics in Cloud Networks","10.1007/978-3-030-20615-4_12",2019
"Multi-criteria Differential Evolution for Optimization of Virtual Machine Resources in Smart City Cloud","10.1007/978-3-030-47679-3_28",2020
"Matching Code Patterns Across Programming Language","10.1007/978-3-031-23387-6_13",2022
"Assessing Black-box Test Case Generation Techniques for Microservices","10.1007/978-3-031-14179-9_4",2022
"Scheduling Microservice Containers on Large Core Machines Through Placement and Coalescing","10.1007/978-3-030-88224-2_5",2021
"SCORE: A Resource-Efficient Microservice Orchestration Model Based on Spectral Clustering in Edge Computing","10.1007/978-3-031-20984-0_13",2022
"Measuring Quality in Metadata Repositories","10.1007/978-3-319-24592-8_5",2015
"SSH-Backed API Performance Case Study","10.1007/978-3-030-49556-5_27",2020
"Cyber-Physical Equipment as a Service","10.1007/978-3-031-16281-7_31",2023
"GPGPU Virtualisation with Multi-API Support Using Containers","10.1007/978-3-319-27308-2_64",2015
"Causal Model Extraction from Attack Trees to Attribute Malicious Insider Attacks","10.1007/978-3-030-62230-5_1",2020
"Microservice-Based System for Environmental Science Software Applications","10.1007/978-3-030-97652-1_39",2022
"Automatic Performance Simulation for Microservice Based Applications","10.1007/978-981-13-2853-4_7",2018
"Smart Omnichannel Architecture for Air Travel Applications Using Big Data Techniques","10.1007/978-981-10-8681-6_60",2019
"Cardinality Based Rate Limiting System for Time-Series Data","10.1007/978-3-030-59635-4_18",2020
"Computing Embeddings of Directed Bigraphs","10.1007/978-3-030-51372-6_3",2020
"A Quantitative Approach for the Assessment of Microservice Architecture Deployment Alternatives by Automated Performance Testing","10.1007/978-3-030-00761-4_11",2018
"CAVAS: Neutralizing Application and Container Security Vulnerabilities in the Cloud Native Era","10.1007/978-3-030-01701-9_26",2018
"Kuksa: A Cloud-Native Architecture for Enabling Continuous Delivery in the Automotive Domain","10.1007/978-3-030-35333-9_32",2019
"A Cost-Efficient Multi-cloud Orchestrator for Benchmarking Containerized Web-Applications","10.1007/978-3-030-34223-4_26",2019
"Automated Generation of Configurable Cloud-Native Chaos Testbeds","10.1007/978-3-030-86507-8_10",2021
"From DevOps to DevDataOps: Data Management in DevOps Processes","10.1007/978-3-030-39306-9_4",2020
"Cloud-Native Databases: An Application Perspective","10.1007/978-3-319-79090-9_7",2018
"Wholly!: A Build System For The Modern Software Stack","10.1007/978-3-030-00244-2_16",2018
"Learning Performance Models Automatically","10.1007/978-3-030-76352-7_6",2021
"Complex Expert Assessment as a Part of Fault Management Strategy for Data Storage Systems","10.1007/978-3-030-34983-7_58",2020
"A High-Level Ontology Network for ICT Infrastructures","10.1007/978-3-030-88361-4_26",2021
"CloudVaults: Integrating Trust Extensions into System Integrity Verification for Cloud-Based Environments","10.1007/978-3-030-66504-3_12",2020
"Log Attention – Assessing Software Releases with Attention-Based Log Anomaly Detection","10.1007/978-3-031-14135-5_11",2022
"Artificial Social Intelligence: Hotel Rate Prediction","10.1007/978-3-030-39442-4_7",2020
"A Performance Survey of Lightweight Virtualization Techniques","10.1007/978-3-319-67262-5_3",2017
"An Interoperable Cloud Platform for the Garment Industry","10.1007/978-3-031-16075-2_32",2023
"Finding Performance Patterns from Logs with High Confidence","10.1007/978-3-030-59618-7_11",2020
"Impact Prediction of Online Education During COVID-19 Using Machine Learning: A Case Study","10.1007/978-981-19-7663-6_54",2023
"Modelling the Dynamic Reconfiguration of Application Topologies, Faults Included","10.1007/978-3-319-59746-1_10",2017
"Performance Analysis of Docker Containerization and Virtualization","10.1007/978-981-16-8862-1_56",2022
